median_income,house_age,avg_rooms,avg_bedrooms,population,avg_occupancy,latitude,longitude,price,bedroom_ratio,rooms_per_person,population_density,income_category,age_category,coastal,northern,price_income_ratio
8.3252,41.0,6.984126984126984,1.0238095238095237,322.0,2.5555555555555554,37.88,-122.23,452600.0,0.14659090909090908,2.7329192546583854,5.777652323222656,Very High,Old,0,1,5.436506029885168
8.3014,21.0,6.238137082601054,0.9718804920913884,2401.0,2.109841827768014,37.86,-122.22,358500.0,0.15579659106916469,2.9566847147022073,7.784057002639929,Very High,Recent,0,1,4.3185486785361515
7.2574,52.0,8.288135593220339,1.073446327683616,496.0,2.8022598870056497,37.85,-122.24,352100.0,0.12951601908657123,2.957661290322581,6.208590026096629,Very High,Old,0,1,4.851599746465676
5.6431,52.0,5.8173515981735155,1.0730593607305936,558.0,2.547945205479452,37.85,-122.25,341300.0,0.18445839874411304,2.283154121863799,6.326149473155099,High,Old,0,1,6.0480941326575826
3.8462,52.0,6.281853281853282,1.0810810810810811,565.0,2.1814671814671813,37.85,-122.25,342200.0,0.17209588199139522,2.879646017699115,6.338594078203183,Medium,Old,0,1,8.897093234881181
4.0368,52.0,4.761658031088083,1.1036269430051813,413.0,2.139896373056995,37.85,-122.25,269700.0,0.23177366702937974,2.225181598062954,6.025865973825314,Medium,Old,0,1,6.681034482758619
3.6591,52.0,4.9319066147859925,0.9513618677042801,1094.0,2.1284046692607004,37.84,-122.25,299200.0,0.19289940828402366,2.317184643510055,6.9985096422506015,Medium,Old,0,1,8.176874094722747
3.12,52.0,4.797527047913447,1.061823802163833,1157.0,1.7882534775888717,37.84,-122.25,241400.00000000003,0.22132731958762886,2.6828003457216942,7.05444965813294,Medium,Old,0,1,7.737179487179488
2.0804,42.0,4.294117647058823,1.1176470588235294,1206.0,2.026890756302521,37.84,-122.26,226700.0,0.26027397260273977,2.1185737976782755,7.095893221097532,Low,Old,0,1,10.896942895597
3.6912,52.0,4.970588235294118,0.9901960784313726,1551.0,2.172268907563025,37.84,-122.25,261100.00000000003,0.1992110453648915,2.288201160541586,7.347299700743164,Medium,Old,0,1,7.07358040745557
3.2031,52.0,5.477611940298507,1.0796019900497513,910.0,2.263681592039801,37.85,-122.26,281500.0,0.19709355131698458,2.4197802197802196,6.814542897259958,Medium,Old,0,1,8.788361275014829
